Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GAT,0.05,250,0.0005,32,1808.0944,1808.0943603515625,32.76864,0.3868748499584816,42.521694,0.397504394253095
GraphSAGE,0.05,250,0.0005,32,1190.5496,1190.5494384765625,24.205175,0.5168458203797504,34.50434,0.5178173134724299
GIN,0.05,250,0.0005,32,287.1735,287.1734619140625,11.91433,0.8944694557103904,16.946194,0.9023223221302032
GCN,0.05,250,0.0005,64,1360.086,1360.0859375,26.446938,0.554913527399005,36.879345,0.5738858977953593
GAT,0.05,250,0.0005,64,2340.6243,2340.6240234375,35.365932,0.20319554587293057,48.379997,0.20331192016601562
GraphSAGE,0.05,250,0.0005,64,1156.1418,1156.1417236328125,24.167389,0.5369394443043695,34.002087,0.5372930417458216
GIN,0.05,250,0.0005,64,109.38032,109.38031768798828,7.3660054,0.9589188610624202,10.458505,0.959864134589831
GCN,0.05,250,0.0005,128,2032.7526,2032.7528076171875,33.797802,0.2608009000429872,45.086056,0.2668189952770869
GAT,0.05,250,0.0005,128,2364.5532,2364.55322265625,36.01342,0.19100950287888385,48.62667,0.19158208866914114
GraphSAGE,0.05,250,0.0005,128,391.18857,391.1885070800781,13.728627,0.855733505967413,19.778488,0.8559456566969553
GIN,0.05,250,0.0005,128,101.52704,101.52702331542969,7.2290154,0.9662180369113057,10.076062,0.9699157873789469
GCN,0.05,250,0.0005,256,2147.2354,2147.2353515625,34.695942,0.22611795135054766,46.338272,0.22916950285434723
GAT,0.05,250,0.0005,256,2202.134,2202.134033203125,34.806698,0.22604687044325658,46.926903,0.22708564003308615
GraphSAGE,0.05,250,0.0005,256,736.60425,736.6043701171875,19.641035,0.7134628165366452,27.140453,0.7138048062721888
GIN,0.05,250,0.0005,256,122.0032,122.003173828125,7.694738,0.9605315777683258,11.045506,0.9698765178521475
GCN,0.05,250,0.0005,512,1622.3246,1622.32470703125,29.148201,0.4490090023475674,40.27809,0.45109493533770245
GAT,0.05,250,0.0005,512,2672.078,2672.077880859375,39.328617,0.026087827083605724,51.692146,0.0565326859553655
GraphSAGE,0.05,250,0.0005,512,1533.4862,1533.4859619140625,30.256124,0.40640676400322834,39.15975,0.49293261766433716
GIN,0.05,250,0.0005,512,172.38194,172.38198852539062,9.392413,0.9369859417780421,13.129431,0.942085400223732
GCN,0.05,250,5e-05,32,1505.6168,1505.6170654296875,26.231178,0.49532174501273096,38.80228,0.5389106223980585
GAT,0.05,250,5e-05,32,4926.693,4926.69384765625,46.64133,-0.5805417077773818,70.19041,4.470348358154297e-08
GraphSAGE,0.05,250,5e-05,32,2895.0725,2895.072021484375,39.49601,1.1861621509086836e-08,53.805878,-4.967053731282552e-09
GIN,0.05,250,5e-05,32,172.53032,172.53030395507812,9.289383,0.9395855816624373,13.135079,0.9484844406445821
GCN,0.05,250,5e-05,64,1877.2212,1877.221435546875,32.488525,0.32242025257909984,43.326912,0.3245081553856532
GAT,0.05,250,5e-05,64,2279.9192,2279.919189453125,31.546503,0.13371916954244964,47.7485,0.20813485980033875
