Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,Test MSE
GraphSAGE,0.2,100,0.001,16,7371.0576171875
GIN,0.2,100,0.001,16,7536.61328125
GCN,0.2,100,0.001,32,7266.95947265625
GAT,0.2,100,0.001,32,300074.375
GraphSAGE,0.2,100,0.001,32,7518.28662109375
GIN,0.2,100,0.001,32,7524.07373046875
GCN,0.2,100,0.001,64,7490.65771484375
GAT,0.2,100,0.001,64,102033368.0
GraphSAGE,0.2,100,0.001,64,7555.9736328125
GIN,0.2,100,0.001,64,7503.7607421875
GCN,0.2,100,0.001,128,7546.3837890625
GAT,0.2,100,0.001,128,330610784.0
GraphSAGE,0.2,100,0.001,128,7566.7451171875
GIN,0.2,100,0.001,128,7354.57373046875
GCN,0.2,100,0.0005,16,6237.9560546875
GAT,0.2,100,0.0005,16,161023984.0
GraphSAGE,0.2,100,0.0005,16,7321.65478515625
GIN,0.2,100,0.0005,16,2877.56591796875
GCN,0.2,100,0.0005,32,7353.80810546875
GAT,0.2,100,0.0005,32,3651552.75
GraphSAGE,0.2,100,0.0005,32,3063.166748046875
GIN,0.2,100,0.0005,32,2853.43408203125
GCN,0.2,100,0.0005,64,2682.9990234375
GAT,0.2,100,0.0005,64,15778.361328125
GraphSAGE,0.2,100,0.0005,64,7565.154296875
GIN,0.2,100,0.0005,64,7302.2998046875
GCN,0.2,100,0.0005,128,7545.482421875
GAT,0.2,100,0.0005,128,1404263168.0
GraphSAGE,0.2,100,0.0005,128,7564.47607421875
GIN,0.2,100,0.0005,128,7504.564453125
GCN,0.2,100,0.0001,16,2902.330810546875
GAT,0.2,100,0.0001,16,16828.16796875
GraphSAGE,0.2,100,0.0001,16,6731.68701171875
GIN,0.2,100,0.0001,16,3380.087890625
GCN,0.2,100,0.0001,32,6990.4580078125
GAT,0.2,100,0.0001,32,284017.5625
GraphSAGE,0.2,100,0.0001,32,7558.5947265625
GIN,0.2,100,0.0001,32,8074.1416015625
GCN,0.2,100,0.0001,64,7460.97607421875
GAT,0.2,100,0.0001,64,254118592.0
GraphSAGE,0.2,100,0.0001,64,7564.29150390625
GIN,0.2,100,0.0001,64,7462.474609375
GCN,0.2,100,0.0001,128,7540.76123046875
GAT,0.2,100,0.0001,128,6754508288.0
GraphSAGE,0.2,100,0.0001,128,7564.548828125
GIN,0.2,100,0.0001,128,20990.06640625
GCN,0.2,200,0.005,16,2930.5986328125
GAT,0.2,200,0.005,16,27290558.0
GraphSAGE,0.2,200,0.005,16,7051.9091796875
GIN,0.2,200,0.005,16,7520.048828125
GCN,0.2,200,0.005,32,6609.67724609375
GAT,0.2,200,0.005,32,10543.1279296875
GraphSAGE,0.2,200,0.005,32,7480.28515625
