Model,Learning Rate,Epochs,Weight Decay,Hidden Channels,MSE,Torch MSE,MAE,R2,RMSE,EV Score
GraphSAGE,0.05,100,5e-05,32,0.04818836,1990.992431640625,0.17512126,0.9999945334538163,0.21951847,0.9999945759773254
GIN,0.05,100,5e-05,32,3.8468754,6137.96142578125,1.0507979,0.9995636057535393,1.9613453,0.9996341466903687
GCN,0.05,100,5e-05,64,0.06524774,1368.3046875,0.20606844,0.9999925982172473,0.25543636,0.9999935626983643
GAT,0.05,100,5e-05,64,664.41846,180264.984375,18.809774,0.9246275683966156,25.776316,0.9274225831031799
GraphSAGE,0.05,100,5e-05,64,0.044911504,1923.58984375,0.16051848,0.9999949051843213,0.21192335,0.9999955296516418
GIN,0.05,100,5e-05,64,1.4053873,7995.59814453125,0.52150106,0.9998405711712647,1.1854904,0.9998615384101868
GCN,0.05,100,5e-05,128,0.15527263,1254.181640625,0.25005975,0.9999823856842324,0.3940465,0.9999825358390808
GAT,0.05,100,5e-05,128,10288.549,8136972.0,42.498444,-0.16714537824523745,101.43249,0.027130842208862305
GraphSAGE,0.05,100,5e-05,128,0.33259177,6310.123046875,0.33617282,0.9999622703839783,0.5767077,0.9999697208404541
GIN,0.05,100,5e-05,128,5.109052,5.316854953765869,1.4832417,0.9994204229655157,2.2603211,0.9994767308235168
GCN,0.05,100,5e-05,256,0.03554598,1426.1812744140625,0.13884945,0.9999959676206851,0.1885364,0.9999960064888
GAT,0.05,100,5e-05,256,8815.783,16689154.0,50.66705,-7.313128481523101e-05,93.8924,0.038609981536865234
GraphSAGE,0.05,100,5e-05,256,11.424986,35396.98046875,3.0737894,0.99870393568149,3.3800867,0.9991374015808105
GIN,0.05,100,5e-05,256,368.5287,5730.1025390625,7.5297284,0.9581936522110657,19.197102,0.9642291069030762
GCN,0.05,100,5e-05,512,0.07106786,1359.99169921875,0.21924055,0.9999919379753316,0.26658556,0.9999940395355225
GAT,0.05,100,5e-05,512,137549.4,1424814848.0,357.48444,-14.60377104739058,370.87653,-8.620306968688965
GraphSAGE,0.05,100,5e-05,512,0.13689473,3848.8740234375,0.2889926,0.9999844704945589,0.36999288,0.9999885559082031
GIN,0.05,100,5e-05,512,0.5907548,5040.15771484375,0.30927366,0.9999329840556361,0.76860577,0.9999366998672485
GCN,0.05,250,0.05,32,0.9583489,1293.4803466796875,0.409813,0.9998912837349705,0.97895294,0.9999085068702698
GAT,0.05,250,0.05,32,8196.264,8196.263671875,32.266563,0.07020585804861912,90.53322,0.1860818862915039
GraphSAGE,0.05,250,0.05,32,6.5981985e-05,3498.52099609375,0.0059794346,0.9999999925149229,0.008122929,1.0
GIN,0.05,250,0.05,32,1.1594099,43.103572845458984,0.513227,0.9998684751360445,1.076759,0.9998944997787476
GCN,0.05,250,0.05,64,6.780243e-06,1416.4395751953125,0.002093093,0.9999999992308409,0.00260389,1.0
GAT,0.05,250,0.05,64,8765.508,12859252.0,35.96418,0.005630143601344284,93.62429,0.14694702625274658
GraphSAGE,0.05,250,0.05,64,0.00065090007,4385.322265625,0.013552059,0.9999999261611052,0.025512744,0.9999999403953552
GIN,0.05,250,0.05,64,2.3165333,7890.5771484375,0.6699576,0.9997372096123227,1.5220162,0.9997875094413757
GCN,0.05,250,0.05,128,2.4984569e-05,1143.2955322265625,0.0031464533,0.9999999971657201,0.0049984567,1.0
GAT,0.05,250,0.05,128,12001.414,28640688.0,56.665474,-0.36145489247252516,109.550964,-0.10561907291412354
GraphSAGE,0.05,250,0.05,128,3.998747e-06,2642.621337890625,0.0013735136,0.9999999995463772,0.0019996867,1.0
GIN,0.05,250,0.05,128,0.57273877,116.96708679199219,0.5567733,0.9999350278153782,0.75679505,0.9999586939811707
GCN,0.05,250,0.05,256,5.8855026e-06,1387.6051025390625,0.0018977472,0.9999999993323414,0.0024260054,1.0
GAT,0.05,250,0.05,256,10158.362,96099.5546875,46.805508,-0.15237689164204316,100.788704,0.06609523296356201
GraphSAGE,0.05,250,0.05,256,1.5850989e-06,1801.5745849609375,0.00092489546,0.9999999998201845,0.0012590071,1.0
GIN,0.05,250,0.05,256,80.48751,7827.84814453125,3.8040044,0.9908693984356227,8.971483,0.9925065636634827
GCN,0.05,250,0.05,512,4.115882e-05,1330.3507080078125,0.0052019074,0.9999999953308939,0.006415514,1.0
GAT,0.05,250,0.05,512,5.883303,27749622.0,2.2257807,0.9993325909455668,2.4255521,0.9995704889297485
GraphSAGE,0.05,250,0.05,512,3.312205e-05,1851.1627197265625,0.004833479,0.9999999962425945,0.005755176,1.0
GIN,0.05,250,0.05,512,4129.696,9154.9580078125,26.039562,0.5315222779881887,64.26271,0.6083697080612183
GCN,0.05,250,0.005,32,8.498075e-06,1365.3427734375,0.0014455335,0.9999999990359681,0.0029151458,1.0
GAT,0.05,250,0.005,32,7339.107,122590008.0,25.608637,0.16744269773461862,85.66859,0.2416071891784668
GraphSAGE,0.05,250,0.005,32,6.526894e-06,1553.65380859375,0.0010430609,0.9999999992595812,0.0025547787,1.0
GIN,0.05,250,0.005,32,0.003661902,0.003661902155727148,0.024596984,0.9999995845894117,0.06051365,0.9999996423721313
GCN,0.05,250,0.005,64,9.2942194e-08,1173.6917724609375,0.0001831157,0.9999999999894565,0.00030486422,1.0
